timestamp,i3_pos_switch_baseband,i3_pos_switch_original_bits,i3_pos_switch_fsk_recovered,m2_speed_baseband,m2_speed_original_bits,m2_speed_fsk_recovered,o8_compressor_baseband,o8_compressor_original_bits,o8_compressor_fsk_recovered,o5_valve_baseband,o5_valve_original_bits,o5_valve_fsk_recovered,o6_valve_baseband,o6_valve_original_bits,o6_valve_fsk_recovered,current_state_binary
2023-02-06 14:14:26,0.0,0,1,0.066978,0,1,0.106295,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:14:28,0.0,0,1,0.007946,0,1,0.128367,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:14:30,0.0,0,0,0.031076,0,0,0.178748,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:32,0.0,0,0,0.100529,0,0,0.189391,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:34,0.0,0,0,0.196163,0,0,0.159885,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:36,0.0,0,1,0.328818,0,1,0.137466,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:14:38,0.0,0,0,0.506738,1,0,0.146293,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:40,0.0,0,1,0.70006,1,1,0.165882,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:14:42,0.0,0,1,0.853656,1,1,0.169758,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:14:44,0.0,0,1,0.9372,1,1,0.158866,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:14:46,0.0,0,0,0.970854,1,0,0.151077,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:48,0.0,0,0,0.991649,1,0,0.154155,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:50,0.0,0,0,1.0,1,0,0.160436,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:52,0.0,0,0,0.954757,1,0,0.161582,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:54,0.0,0,0,0.828057,1,0,0.158292,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:56,0.0,0,1,0.655555,1,1,0.15588,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:14:58,0.0,0,1,0.518169,1,1,0.156802,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:15:00,0.0,0,0,0.4708,0,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:15:02,0.0,0,0,0.496055,0,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:15:04,0.0,0,1,0.531431,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:15:06,0.0,0,0,0.534527,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:15:08,0.0,0,0,0.513891,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:15:10,0.0,0,1,0.501283,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:15:12,0.0,0,1,0.508863,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:15:14,0.0,0,1,0.521434,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
